trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1189,False,"{'a': 0.002, 'e': 0.0929215212131989}",20,16,7.128703713637698,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1190,False,"{'a': 0.002, 'e': 0.09273586388998147}",25,12,14.293001731011792,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1191,False,"{'a': 0.002, 'e': 0.09255057751034329}",30,24,10.465371980772126,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1192,False,"{'a': 0.002, 'e': 0.0923656613331385}",25,14,7.005526489182394,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1193,False,"{'a': 0.002, 'e': 0.09218111461870225}",20,16,7.218620220307132,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1194,False,"{'a': 0.002, 'e': 0.09199693662884734}",25,17,15.691053720938891,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1195,False,"{'a': 0.002, 'e': 0.09181312662686165}",20,14,7.520675946523619,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1196,False,"{'a': 0.002, 'e': 0.09162968387750484}",25,16,-2.458542746192305,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1197,False,"{'a': 0.002, 'e': 0.09144660764700575}",30,16,21.88360598597142,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1198,False,"{'a': 0.002, 'e': 0.09126389720305915}",35,20,28.72609714437689,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1199,False,"{'a': 0.002, 'e': 0.09108155181482308}",20,16,7.332650575330547,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1200,False,"{'a': 0.002, 'e': 0.09089957075291567}",25,18,0.756908308588905,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1201,False,"{'a': 0.002, 'e': 0.09071795328941251}",20,0,30.676579441948604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1202,False,"{'a': 0.002, 'e': 0.09053669869784343}",20,6,13.471370806002433,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
